image_id,image_label,original_image_path,domain,model_predicted_class,model_confidence,initial_description,vqa_support_description,option_A_type,option_B_type,option_C_type,option_D_type,option_E_type,option_F_type
1,img_01,,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,None
2,img_02,,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,None
3,img_03,,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,None
4,img_04,,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,None
5,img_05,,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,None
6,img_06,,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,None
7,img_07,,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,None
8,img_08,,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,None
9,img_09,,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,None
10,img_10,,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,None
11,img_11,,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,None
