user_id,image_id,image_label,selected_option,satisfaction,confidence,understanding,mean_helpfulness,case_local_id
U001,1,img_01,Opción B,4,5,4,4.333333333333333,1
U001,2,img_02,Opción A,4,5,4,4.333333333333333,2
U001,3,img_03,Opción E,4,3,4,3.6666666666666665,3
U001,4,img_04,Opción C,4,4,4,4.0,4
U001,5,img_05,Opción F (Ninguna),2,2,4,2.6666666666666665,5
U001,6,img_06,Opción D,4,3,4,3.6666666666666665,6
U001,7,img_07,Opción C,3,2,4,3.0,7
U001,8,img_08,Opción B,4,4,4,4.0,8
U001,9,img_09,Opción E,4,4,4,4.0,9
U001,10,img_10,Opción E,4,4,4,4.0,10
U001,11,img_11,Opción B,4,4,4,4.0,11
U002,1,img_01,Opción A,3,2,3,2.6666666666666665,1
U002,2,img_02,Opción A,3,4,4,3.6666666666666665,2
U002,3,img_03,Opción A,2,2,2,2.0,3
U002,4,img_04,Opción C,3,4,3,3.3333333333333335,4
U002,5,img_05,Opción A,1,1,1,1.0,5
U002,6,img_06,Opción A,4,4,3,3.6666666666666665,6
U002,7,img_07,Opción A,3,4,3,3.3333333333333335,7
U002,8,img_08,Opción A,3,5,3,3.6666666666666665,8
U002,9,img_09,Opción B,3,4,3,3.3333333333333335,9
U002,10,img_10,Opción A,4,4,3,3.6666666666666665,10
U002,11,img_11,Opción B,3,4,4,3.6666666666666665,11
U003,1,img_01,Opción D,2,2,2,2.0,1
U003,2,img_02,Opción B,4,4,4,4.0,2
U003,3,img_03,Opción A,3,3,3,3.0,3
U003,4,img_04,Opción E,2,2,2,2.0,4
U003,5,img_05,Opción A,3,3,3,3.0,5
U003,6,img_06,Opción A,2,3,3,2.6666666666666665,6
U003,7,img_07,Opción D,4,4,4,4.0,7
U003,8,img_08,Opción C,2,2,3,2.3333333333333335,8
U003,9,img_09,Opción F (Ninguna),1,1,1,1.0,9
U003,10,img_10,Opción C,3,3,3,3.0,10
U003,11,img_11,Opción D,4,4,4,4.0,11
U004,1,img_01,Opción B,3,4,2,3.0,1
U004,2,img_02,Opción A,4,4,4,4.0,2
U004,3,img_03,Opción A,4,4,5,4.333333333333333,3
U004,4,img_04,Opción D,4,3,4,3.6666666666666665,4
U004,5,img_05,Opción D,4,3,4,3.6666666666666665,5
U004,6,img_06,Opción C,3,2,4,3.0,6
U004,7,img_07,Opción E,4,4,5,4.333333333333333,7
U004,8,img_08,Opción B,4,5,4,4.333333333333333,8
U004,9,img_09,Opción B,3,4,2,3.0,9
U004,10,img_10,Opción B,4,4,4,4.0,10
U004,11,img_11,Opción E,4,3,5,4.0,11
U005,1,img_01,Opción A,4,5,4,4.333333333333333,1
U005,2,img_02,Opción B,4,5,5,4.666666666666667,2
U005,3,img_03,Opción E,5,5,4,4.666666666666667,3
U005,4,img_04,Opción C,4,5,5,4.666666666666667,4
U005,5,img_05,Opción F (Ninguna),1,1,1,1.0,5
U005,6,img_06,Opción A,5,5,5,5.0,6
U005,7,img_07,Opción B,3,3,4,3.3333333333333335,7
U005,8,img_08,Opción B,3,4,5,4.0,8
U005,9,img_09,Opción E,4,3,4,3.6666666666666665,9
U005,10,img_10,Opción E,4,4,4,4.0,10
U005,11,img_11,Opción B,4,4,4,4.0,11
U006,1,img_01,Opción B,2,3,3,2.6666666666666665,1
U006,2,img_02,Opción B,3,3,3,3.0,2
U006,3,img_03,Opción B,2,2,3,2.3333333333333335,3
U006,4,img_04,Opción B,3,4,3,3.3333333333333335,4
U006,5,img_05,Opción F (Ninguna),1,1,1,1.0,5
U006,6,img_06,Opción A,3,4,4,3.6666666666666665,6
U006,7,img_07,Opción B,2,3,3,2.6666666666666665,7
U006,8,img_08,Opción F (Ninguna),1,1,1,1.0,8
U006,9,img_09,Opción B,2,3,2,2.3333333333333335,9
U006,10,img_10,Opción B,3,4,3,3.3333333333333335,10
U006,11,img_11,Opción B,4,3,3,3.3333333333333335,11
U007,1,img_01,Opción B,4,4,4,4.0,1
U007,2,img_02,Opción B,4,4,4,4.0,2
U007,3,img_03,Opción E,3,4,4,3.6666666666666665,3
U007,4,img_04,Opción C,2,4,3,3.0,4
U007,5,img_05,Opción F (Ninguna),1,3,1,1.6666666666666667,5
U007,6,img_06,Opción A,4,4,4,4.0,6
U007,7,img_07,Opción E,3,3,2,2.6666666666666665,7
U007,8,img_08,Opción B,3,3,3,3.0,8
U007,9,img_09,Opción D,3,3,3,3.0,9
U007,10,img_10,Opción E,4,4,4,4.0,10
U007,11,img_11,Opción B,3,4,3,3.3333333333333335,11
U008,1,img_01,Opción A,2,2,4,2.6666666666666665,1
U008,2,img_02,Opción A,4,5,4,4.333333333333333,2
U008,3,img_03,Opción E,3,3,4,3.3333333333333335,3
U008,4,img_04,Opción E,3,3,4,3.3333333333333335,4
U008,5,img_05,Opción F (Ninguna),1,1,1,1.0,5
U008,6,img_06,Opción A,4,4,4,4.0,6
U008,7,img_07,Opción F (Ninguna),1,1,1,1.0,7
U008,8,img_08,Opción F (Ninguna),1,1,1,1.0,8
