user_id,timestamp,age_range,education_level,occupation_raw,occupation_list,ai_knowledge_raw,ai_knowledge_level,ai_knowledge_desc,domain_knowledge_raw,domain_knowledge_level,domain_knowledge_desc,preferred_response_length,preferred_technical_level,preferred_explanation_types_raw,preferred_explanation_types_list,preferred_format,main_goals_raw,main_goals_list,perceived_error_impact,free_comment
U001,2026-03-24 12:11:51.041,18–24,Grado,"Estudiante, Investigador/a (académico)","[""Estudiante"", ""Investigador/a (académico)""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",4,"Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,3,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir","Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","[""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)""]",Texto breve + imagen,"Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa","[""Confianza: sentir mayor seguridad en la respuesta del sistema"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Escrutinio: evaluar críticamente si la decisión del sistema es adecuada"", ""razonable o justa""]",Medio: el error podría causar cierta confusión o problema,"Igual para gente más inexperta explicación breve de los diferentes tipos de detección, para saber como funciona y poder contestar mejor las preguntas."
U002,2026-03-26 17:14:42.568,18–24,Grado,Profesional de otro sector,"[""Profesional de otro sector""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",4,"Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.","2 Básico: reconozco animales comunes (león, elefante…), poco más.",2,"Básico: reconozco animales comunes (león, elefante…), poco más.",Media: explicación breve con algo de detalle,Simple: lenguaje claro y sin tecnicismos,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen), No tengo preferencia / me da igual","[""Explicaciones con ejemplos similares"", ""Explicaciones con comparaciones o contraejemplos"", ""Explicaciones centradas en atributos o características concretas"", ""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)"", ""No tengo preferencia / me da igual""]",Texto detallado + imagen,"Transparencia: entender por qué el sistema tomó esa decisión, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa","[""Transparencia: entender por qué el sistema tomó esa decisión"", ""Efectividad: recibir una explicación útil para realizar mejor la tarea"", ""Satisfacción: que la explicación resulte clara y útil para ti"", ""Educación: aprender más sobre la imagen"", ""el problema o el funcionamiento del sistema"", ""Escrutinio: evaluar críticamente si la decisión del sistema es adecuada"", ""razonable o justa""]",Medio: el error podría causar cierta confusión o problema,
U003,2026-03-26 18:02:08.412,18–24,Grado,"Estudiante, Desarrolladora","[""Estudiante"", ""Desarrolladora""]","5 Experto: trabajo/investigo en IA; implemento, entreno y evalúo modelos con regularidad.",5,"Experto: trabajo/investigo en IA; implemento, entreno y evalúo modelos con regularidad.","2 Básico: reconozco animales comunes (león, elefante…), poco más.",2,"Básico: reconozco animales comunes (león, elefante…), poco más.",Corta: solo lo esencial,Técnico: explicación más especializada y precisa,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","[""Explicaciones con ejemplos similares"", ""Explicaciones con comparaciones o contraejemplos"", ""Explicaciones visuales (zonas destacadas en la imagen)""]",Texto breve + imagen,"Transparencia: entender por qué el sistema tomó esa decisión, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema","[""Transparencia: entender por qué el sistema tomó esa decisión"", ""Satisfacción: que la explicación resulte clara y útil para ti"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Educación: aprender más sobre la imagen"", ""el problema o el funcionamiento del sistema""]",Alto: el error podría tener consecuencias importantes,
U004,2026-03-27 09:17:32.518,18–24,Grado,"Estudiante, Investigador/a (académico)","[""Estudiante"", ""Investigador/a (académico)""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",4,"Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.","2 Básico: reconozco animales comunes (león, elefante…), poco más.",2,"Básico: reconozco animales comunes (león, elefante…), poco más.",Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir","Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","[""Explicaciones centradas en atributos o características concretas"", ""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)""]",Principalmente visual,"Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti","[""Transparencia: entender por qué el sistema tomó esa decisión"", ""Eficiencia: comprender la respuesta de forma rápida"", ""Satisfacción: que la explicación resulte clara y útil para ti""]",Medio: el error podría causar cierta confusión o problema,
U005,2026-03-27 10:36:15.410,18–24,Master,Estudiante,"[""Estudiante""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",4,"Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,3,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir","Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","[""Explicaciones con ejemplos similares"", ""Explicaciones con comparaciones o contraejemplos"", ""Explicaciones visuales (zonas destacadas en la imagen)""]",Texto breve + imagen,"Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Confianza: sentir mayor seguridad en la respuesta del sistema","[""Transparencia: entender por qué el sistema tomó esa decisión"", ""Eficiencia: comprender la respuesta de forma rápida"", ""Confianza: sentir mayor seguridad en la respuesta del sistema""]",Medio: el error podría causar cierta confusión o problema,
U006,2026-04-01 11:34:18.496,25–34,Grado,"Estudiante, Profesional del sector tecnológico / IA / datos","[""Estudiante"", ""Profesional del sector tecnológico / IA / datos""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",4,"Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,3,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Corta: solo lo esencial,"Intermedio: algunos términos técnicos, pero fáciles de seguir","Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso","[""Explicaciones centradas en atributos o características concretas"", ""Explicaciones basadas en reglas o razonamientos paso a paso""]",Texto breve + imagen,"Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema","[""Transparencia: entender por qué el sistema tomó esa decisión"", ""Confianza: sentir mayor seguridad en la respuesta del sistema""]",Medio: el error podría causar cierta confusión o problema,
U007,2026-04-01 11:34:56.282,18–24,Master,"Estudiante, Investigador/a (académico), Docente / profesor/a","[""Estudiante"", ""Investigador/a (académico)"", ""Docente / profesor/a""]","5 Experto: trabajo/investigo en IA; implemento, entreno y evalúo modelos con regularidad.",5,"Experto: trabajo/investigo en IA; implemento, entreno y evalúo modelos con regularidad.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,3,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso","[""Explicaciones centradas en atributos o características concretas"", ""Explicaciones basadas en reglas o razonamientos paso a paso""]",Texto breve + imagen,"Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Satisfacción: que la explicación resulte clara y útil para ti, Persuasión: convencerte de que la decisión del sistema está justificada, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema","[""Transparencia: entender por qué el sistema tomó esa decisión"", ""Confianza: sentir mayor seguridad en la respuesta del sistema"", ""Satisfacción: que la explicación resulte clara y útil para ti"", ""Persuasión: convencerte de que la decisión del sistema está justificada"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema""]",Bajo: el error apenas tendría consecuencias,
U008,2026-04-04 19:24:25.918,18–24,Grado,Estudiante,"[""Estudiante""]","3 Nivel usuario: la he usado alguna vez y entiendo conceptos básicos (modelo, datos, entrenamiento) sin detalle técnico.",3,"Nivel usuario: la he usado alguna vez y entiendo conceptos básicos (modelo, datos, entrenamiento) sin detalle técnico.","2 Básico: reconozco animales comunes (león, elefante…), poco más.",2,"Básico: reconozco animales comunes (león, elefante…), poco más.",Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir","Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos","[""Explicaciones con ejemplos similares"", ""Explicaciones con comparaciones o contraejemplos""]",Texto breve + imagen,"Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti","[""Transparencia: entender por qué el sistema tomó esa decisión"", ""Eficiencia: comprender la respuesta de forma rápida"", ""Efectividad: recibir una explicación útil para realizar mejor la tarea"", ""Satisfacción: que la explicación resulte clara y útil para ti""]",Medio: el error podría causar cierta confusión o problema,
U009,2026-04-04 19:25:04.117,25–34,Grado,Investigador/a (académico),"[""Investigador/a (académico)""]","3 Nivel usuario: la he usado alguna vez y entiendo conceptos básicos (modelo, datos, entrenamiento) sin detalle técnico.",3,"Nivel usuario: la he usado alguna vez y entiendo conceptos básicos (modelo, datos, entrenamiento) sin detalle técnico.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,3,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Media: explicación breve con algo de detalle,Simple: lenguaje claro y sin tecnicismos,"Explicaciones con ejemplos similares, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","[""Explicaciones con ejemplos similares"", ""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)""]",Texto breve + imagen,"Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea","[""Eficiencia: comprender la respuesta de forma rápida"", ""Efectividad: recibir una explicación útil para realizar mejor la tarea""]",Medio: el error podría causar cierta confusión o problema,Está perfecto
U010,2026-04-04 19:28:52.714,18–24,Grado,Estudiante,"[""Estudiante""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",4,"Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.","4 Alto: distingo especies similares y detalles (familias, comportamiento, hábitat).",4,"Alto: distingo especies similares y detalles (familias, comportamiento, hábitat).",Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,No tengo preferencia / me da igual,"[""No tengo preferencia / me da igual""]",Me da igual,"Eficiencia: comprender la respuesta de forma rápida, Confianza: sentir mayor seguridad en la respuesta del sistema","[""Eficiencia: comprender la respuesta de forma rápida"", ""Confianza: sentir mayor seguridad en la respuesta del sistema""]",Medio: el error podría causar cierta confusión o problema,
