line_no,timestamp,selector_id,description_case_id,image_id,image_label,domain,model_predicted_class,role,education_level,ai_knowledge_level,domain_knowledge_level,preferred_response_length,preferred_technical_level,preferred_format,preferred_explanation_types_raw,main_goals_raw,perceived_error_impact,recommended_option,recommended_method,neighbor_case_id,neighbor_similarity,solution_length,solution_technical_level,solution_structure,solution_format,k_instances,k_counterexamples,n_counterexamples_returned,convinced,rating,acceptance,satisfaction,confidence,understanding,requested_change,alternatives_exhausted,iteration,explanation_chars,explanation_words,date,convinced_bool,demo_run_id,interaction_id
1,2026-06-14 16:59:06,vaca_00e6ccb5516d6bdf,00e6ccb5516d6bdf,12,Imagen prueba 1 de 3,Naturaleza / animales,Buey,"Estudiante, Investigador/a (academico)",Grado,4,2,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.4135473100773465,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,5.0,5.0,5.0,5.0,5.0,,False,1,1186,190,2026-06-14,True,1,1::vaca_00e6ccb5516d6bdf
2,2026-06-14 17:00:13,wallaby_008fb78fa0fd8744,008fb78fa0fd8744,13,Imagen prueba 2 de 3,Naturaleza / animales,Wallaby,"Estudiante, Investigador/a (academico)",Grado,4,2,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.4135473100773465,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,4.0,5.0,4.0,4.0,3.0,,False,1,1396,218,2026-06-14,True,1,1::wallaby_008fb78fa0fd8744
3,2026-06-14 17:01:16,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,"Estudiante, Investigador/a (academico)",Grado,4,2,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,"Explicaciones con ejemplos similares, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Alto: el error podría tener consecuencias importantes,Opción E,saliency,C0284,0.9135473100773466,larga,tecnico,tabla,Principalmente visual,3,2,2,False,,,,,,,False,1,1246,202,2026-06-14,False,1,1::aguila_0031229b7741a1d7
4,2026-06-14 17:02:16,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,"Estudiante, Investigador/a (academico)",Grado,4,2,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0295,0.9135473100773466,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,4.0,4.0,4.0,3.0,3.0,,False,2,1263,198,2026-06-14,True,1,1::aguila_0031229b7741a1d7
5,2026-06-15 15:16:14,vaca_00e6ccb5516d6bdf,00e6ccb5516d6bdf,12,Imagen prueba 1 de 3,Naturaleza / animales,Buey,Profesional de otro sector,Bachillerato/FP,2,2,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0295,0.4562225096851077,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,4.0,5.0,5.0,4.0,3.0,,False,1,1391,225,2026-06-15,True,2,2::vaca_00e6ccb5516d6bdf
6,2026-06-15 15:17:17,wallaby_008fb78fa0fd8744,008fb78fa0fd8744,13,Imagen prueba 2 de 3,Naturaleza / animales,Wallaby,Profesional de otro sector,Bachillerato/FP,2,2,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0290,0.4414007816954434,media,tecnico,pasos,Texto breve + imagen,3,2,2,False,,,,,,,False,1,1214,180,2026-06-15,False,2,2::wallaby_008fb78fa0fd8744
7,2026-06-15 15:17:54,wallaby_008fb78fa0fd8744,008fb78fa0fd8744,13,Imagen prueba 2 de 3,Naturaleza / animales,Wallaby,Profesional de otro sector,Bachillerato/FP,2,2,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,"Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Medio: el error podría causar cierta confusión o problema,Opción A,anchor,C0147,0.4414007816954434,larga,tecnico,tabla,Texto detallado + imagen,3,2,2,False,,,,,,,False,2,1332,204,2026-06-15,False,2,2::wallaby_008fb78fa0fd8744
8,2026-06-15 15:19:00,wallaby_008fb78fa0fd8744,008fb78fa0fd8744,13,Imagen prueba 2 de 3,Naturaleza / animales,Wallaby,Profesional de otro sector,Bachillerato/FP,2,2,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,"Explicaciones con ejemplos similares, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Alto: el error podría tener consecuencias importantes,Opción E,saliency,C0284,0.43781005355500585,larga,tecnico,tabla,Principalmente visual,3,2,2,True,3.0,3.0,3.0,4.0,3.0,,False,3,1540,239,2026-06-15,True,2,2::wallaby_008fb78fa0fd8744
9,2026-06-15 15:19:48,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,Profesional de otro sector,Bachillerato/FP,2,2,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0295,0.9579031943330563,media,tecnico,pasos,Texto breve + imagen,3,2,2,False,,,,,,,False,1,1104,182,2026-06-15,False,2,2::aguila_0031229b7741a1d7
10,2026-06-15 15:20:31,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,Profesional de otro sector,Bachillerato/FP,2,2,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,"Explicaciones con ejemplos similares, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Alto: el error podría tener consecuencias importantes,Opción E,saliency,C0284,0.9579031943330563,larga,tecnico,tabla,Principalmente visual,3,2,2,True,4.0,3.0,4.0,5.0,4.0,,False,2,1392,228,2026-06-15,True,2,2::aguila_0031229b7741a1d7
11,2026-06-15 16:09:46,vaca_00e6ccb5516d6bdf,00e6ccb5516d6bdf,12,Imagen prueba 1 de 3,Naturaleza / animales,Buey,Profesional del sector tecnologico / IA / datos,Grado,4,2,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0295,0.4786984266927531,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,4.0,4.0,5.0,3.0,5.0,,False,1,1283,200,2026-06-15,True,3,3::vaca_00e6ccb5516d6bdf
12,2026-06-15 16:11:42,wallaby_008fb78fa0fd8744,008fb78fa0fd8744,13,Imagen prueba 2 de 3,Naturaleza / animales,Wallaby,Profesional del sector tecnologico / IA / datos,Grado,4,2,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0290,0.4638766987030888,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,5.0,5.0,5.0,5.0,4.0,,False,1,1275,189,2026-06-15,True,3,3::wallaby_008fb78fa0fd8744
